iter	RMSE
1284	531.2025033
1285	531.1860654
1286	531.1511191
1287	531.1360073
1288	531.0993747
1289	531.0841483
1290	531.0673847
1291	530.9883754
1292	530.9645884
1293	530.9535985
1294	530.9387876
1295	530.9282813
1296	530.888871
1297	530.8680381
1298	530.8419557
1299	530.807865
1300	530.7923328
1301	530.7853417
1302	530.7704744
1303	530.7503407
1304	530.7251323
1305	530.6854021
1306	530.6719378
1307	530.6460817
1308	530.6300093
1309	530.5561712
1310	530.5170119
1311	530.48367
1312	530.4648295
1313	530.4151635
1314	530.4032073
1315	530.3567652
1316	530.339358
1317	530.3046476
1318	530.2785125
1319	530.2403602
1320	530.2260842
1321	530.2138948
1322	530.2029037
1323	530.1617507
1324	530.1339796
1325	530.1020143
1326	530.071864
1327	530.0475131
1328	530.0015215
1329	529.9980026
1330	529.9943062
1331	529.9519198
1332	529.9301031
1333	529.8512408
1334	529.806185
1335	529.7675251
1336	529.7498887
1337	529.7207035
1338	529.7050698
1339	529.6973224
1340	529.6505923
1341	529.6295992
1342	529.5726432
1343	529.5376115
1344	529.4926692
1345	529.4495492
1346	529.4399062
1347	529.4064555
1348	529.3721844
1349	529.3534895
1350	529.3072015
1351	529.2835918
1352	529.2614725
1353	529.250456
1354	529.2441006
1355	529.2231586
1356	529.184062
1357	529.1726447
1358	529.1656762
1359	529.1647422
1360	529.1240683
1361	529.0829668
1362	529.0614126
1363	529.0389429
1364	529.034387
1365	529.030119
1366	529.0057757
1367	528.9912769
1368	528.9718691
1369	528.9505074
1370	528.9361436
1371	528.9179247
1372	528.9031482
1373	528.8965415
1374	528.8924962
1375	528.8794242
1376	528.8425088
1377	528.8416173
1378	528.8341179
1379	528.8271303
1380	528.7901785
1381	528.7424914
1382	528.7417855
1383	528.7231622
1384	528.6525777
1385	528.649168
1386	528.6004426
1387	528.5746008
1388	528.5541809
1389	528.5401774
1390	528.5178261
1391	528.486256
1392	528.4823242
1393	528.4785066
1394	528.4648168
1395	528.441267
1396	528.4223785
1397	528.4114402
1398	528.3852541
1399	528.3823522
1400	528.3620798
1401	528.3431743
1402	528.316098
1403	528.2909645
1404	528.2721902
1405	528.2274223
1406	528.2091495
1407	528.140787
1408	528.1330072
1409	528.1133983
1410	528.0633303
1411	528.0423239
1412	527.9990715
1413	527.9825687
1414	527.9656892
1415	527.9486872
1416	527.9345423
1417	527.9226116
1418	527.9027408
1419	527.8618981
1420	527.8387102
1421	527.778724
1422	527.7586668
1423	527.7457412
1424	527.7319661
1425	527.7195599
1426	527.7105595
1427	527.6885149
1428	527.6721131
1429	527.6382498
1430	527.6284885
1431	527.5985243
1432	527.5767652
1433	527.5461413
1434	527.5349864
1435	527.4972299
1436	527.4764773
1437	527.4299203
1438	527.4159432
1439	527.4130669
1440	527.3988021
1441	527.3852546
1442	527.3524188
1443	527.3198936
1444	527.2866463
1445	527.2594081
1446	527.2301481
1447	527.2093217
1448	527.1729399
1449	527.141663
1450	527.1180163
1451	527.0788074
1452	527.0561068
1453	527.0345649
1454	527.0341769
1455	527.0313175
1456	527.0304765
1457	527.0273706
1458	527.0017538
1459	526.9723071
1460	526.9516787
1461	526.9064778
1462	526.8657099
1463	526.8411227
1464	526.8243308
1465	526.8028054
1466	526.7979592
1467	526.7883569
1468	526.7746823
1469	526.7381103
1470	526.723972
1471	526.6904753
1472	526.6573835
1473	526.6537956
1474	526.6465864
1475	526.5927913
1476	526.5484773
1477	526.5070255
1478	526.4802216
1479	526.4666345
1480	526.4502754
1481	526.4245801
1482	526.4072098
1483	526.3628706
1484	526.3468832
1485	526.3381781
1486	526.3311426
1487	526.2959137
1488	526.2829855
1489	526.2164606
1490	526.1639761
1491	526.1273482
1492	526.0985638
1493	526.0738762
1494	526.0300518
1495	526.0007881
1496	525.9594963
1497	525.9270641
1498	525.8979968
1499	525.8789537
